index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
B4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,192,1.84367,3.896744,2.417896,2.418007,2.420015,2.420054,0.079908,1.230136,0.307615,2
B4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,193,1.739241,3.371879,2.152048,2.154464,2.422772,2.430168,0.090554,1.474295,0.064443,0
B4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,194,1.694053,3.456867,2.196914,2.197016,2.200811,2.20107,0.077011,1.322067,0.331256,2
B4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,193,1.798278,1.316595,2.082554,2.129806,2.17305,2.28115,0.05831,2.832913,-0.244253,2
B4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,194,1.623011,3.349234,2.17939,2.179429,2.180643,2.180667,0.086167,1.104099,0.514086,2
B4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,189,1.661797,1.34462,1.944499,2.014341,2.038625,2.126066,0.062918,2.484701,-0.258607,2
B4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,190,1.513325,1.744273,1.907909,1.908034,2.072025,2.072351,0.080519,1.342349,-0.017228,0
B4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,191,1.603832,1.331454,1.965563,2.002944,2.009362,2.068532,0.067608,1.860181,-0.115749,1
B4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,192,1.533453,3.072247,2.039664,2.039698,2.039914,2.040034,0.083588,1.145999,1.008091,2
B4_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,193,1.537091,3.365431,2.23037,2.230464,2.230935,2.230973,0.106097,1.003555,0.010246,0
B4_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,192,2.013364,4.226277,2.553171,2.554905,2.559632,2.561184,0.07108,1.600183,0.426831,2
B4_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,193,1.875315,3.419819,2.325811,2.329003,2.397824,2.412871,0.069281,1.740418,-0.041822,0
